cohort,track,prefix,method,mode,role,stratum,strict_role,diagnostic_step,is_diagnostic,average,inputs,edits,source_images,patients,semantic,semantic_numerator,semantic_denominator,semantic_edit_support,v4_primary,v4_primary_numerator,v4_primary_denominator,v4_primary_edit_support,original_reference_correct,original_reference_correct_numerator,original_reference_correct_denominator,original_reference_correct_edit_support,base_correct,base_correct_numerator,base_correct_denominator,base_correct_edit_support,base_correct_damage,base_correct_damage_numerator,base_correct_damage_denominator,base_correct_damage_edit_support,base_correct_preserved,base_correct_preserved_numerator,base_correct_preserved_denominator,base_correct_preserved_edit_support,base_wrong_became_correct,base_wrong_became_correct_numerator,base_wrong_became_correct_denominator,base_wrong_became_correct_edit_support,base_wrong_changed,base_wrong_changed_numerator,base_wrong_changed_denominator,base_wrong_changed_edit_support,on,on_numerator,on_denominator,on_edit_support,joint_on_correct,joint_on_correct_numerator,joint_on_correct_denominator,joint_on_correct_edit_support,fpr,fpr_numerator,fpr_denominator,fpr_edit_support,misfire_damage,misfire_damage_numerator,misfire_damage_denominator,misfire_damage_edit_support,token_parity,token_parity_numerator,token_parity_denominator,token_parity_edit_support,kl,kl_numerator,kl_denominator,kl_edit_support,own_forced_correct,own_forced_correct_numerator,own_forced_correct_denominator,own_forced_correct_edit_support,rejection,rejection_numerator,rejection_denominator,rejection_edit_support,wrong_writer,wrong_writer_numerator,wrong_writer_denominator,wrong_writer_edit_support,writer_error,writer_error_numerator,writer_error_denominator,writer_error_edit_support,equivalent_correct,equivalent_correct_numerator,equivalent_correct_denominator,equivalent_correct_edit_support,other_expert_correct,other_expert_correct_numerator,other_expert_correct_denominator,other_expert_correct_edit_support,selected_writer_error,selected_writer_error_numerator,selected_writer_error_denominator,selected_writer_error_edit_support,ended_with_eos,ended_with_eos_numerator,ended_with_eos_denominator,ended_with_eos_edit_support,cap_hit,cap_hit_numerator,cap_hit_denominator,cap_hit_edit_support,wrong_given_on_base_correct,wrong_given_on_base_correct_numerator,wrong_given_on_base_correct_denominator,wrong_given_on_base_correct_edit_support,wrong_given_on_strict_base,wrong_given_on_strict_base_numerator,wrong_given_on_strict_base_denominator,wrong_given_on_strict_base_edit_support,positive_wrong_rejection,positive_wrong_rejection_numerator,positive_wrong_rejection_denominator,positive_wrong_rejection_edit_support,positive_wrong_selection,positive_wrong_selection_numerator,positive_wrong_selection_denominator,positive_wrong_selection_edit_support,positive_owner_error,positive_owner_error_numerator,positive_owner_error_denominator,positive_owner_error_edit_support,correct_via_base_return,correct_via_base_return_numerator,correct_via_base_return_denominator,correct_via_base_return_edit_support,correct_via_owner_writer,correct_via_owner_writer_numerator,correct_via_owner_writer_denominator,correct_via_owner_writer_edit_support,correct_via_other_writer,correct_via_other_writer_numerator,correct_via_other_writer_denominator,correct_via_other_writer_edit_support
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,challenge,challenge,STRICT_BASE,320,False,macro,12,4,3,UNKNOWN,1.0,12.0,12,4,,,0,0,1.0,12.0,12,4,0.3333333333333333,4.0,12,4,0.0,0.0,4,4,1.0,4.0,4,4,1.0,8.0,8,4,1.0,8.0,8,4,1.0,12.0,12,4,1.0,12.0,12,4,1.0,12.0,12,4,0.0,0.0,4,4,0.0,0.0,12,4,,,0,0,1.0,12.0,12,4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,12.0,12,4,,,0,0,0.0,0.0,4,4,0.0,0.0,12,4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,challenge,challenge,STRICT_BASE,320,False,micro,12,4,3,UNKNOWN,1.0,12.0,12,4,,,0,0,1.0,12.0,12,4,0.3333333333333333,4.0,12,4,0.0,0.0,4,4,1.0,4.0,4,4,1.0,8.0,8,4,1.0,8.0,8,4,1.0,12.0,12,4,1.0,12.0,12,4,1.0,12.0,12,4,0.0,0.0,4,4,0.0,0.0,12,4,,,0,0,1.0,12.0,12,4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,12.0,12,4,,,0,0,0.0,0.0,4,4,0.0,0.0,12,4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,H,STRICT_BASE,320,False,macro,9,7,3,UNKNOWN,0.07142857142857142,1.0,9,7,,,0,0,0.07142857142857142,1.0,9,7,0.6428571428571429,5.0,9,7,0.8,4.0,5,5,0.2,1.0,5,5,0.0,0.0,4,3,0.6666666666666666,3.0,4,3,0.8571428571428571,7.0,9,7,0.0,0.0,9,7,0.8571428571428571,7.0,9,7,0.8,4.0,5,5,0.14285714285714285,2.0,9,7,,,0,0,0.0,0.0,9,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,9.0,9,7,,,0,0,1.0,4.0,4,4,1.0,7.0,7,6,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,H,STRICT_BASE,320,False,micro,9,7,3,UNKNOWN,0.1111111111111111,1.0,9,7,,,0,0,0.1111111111111111,1.0,9,7,0.5555555555555556,5.0,9,7,0.8,4.0,5,5,0.2,1.0,5,5,0.0,0.0,4,3,0.75,3.0,4,3,0.7777777777777778,7.0,9,7,0.0,0.0,9,7,0.7777777777777778,7.0,9,7,0.8,4.0,5,5,0.2222222222222222,2.0,9,7,,,0,0,0.0,0.0,9,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,9.0,9,7,,,0,0,1.0,4.0,4,4,1.0,7.0,7,6,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,U,STRICT_BASE,320,False,macro,28,7,2,UNKNOWN,0.2261904761904762,6.0,28,7,,,0,0,0.2261904761904762,6.0,28,7,0.8452380952380952,22.0,28,7,0.7142857142857143,16.0,22,7,0.2857142857142857,6.0,22,7,0.0,0.0,6,6,0.6666666666666666,4.0,6,6,0.7142857142857143,20.0,28,7,0.0,0.0,28,7,0.7142857142857143,20.0,28,7,0.7142857142857143,16.0,22,7,0.2857142857142857,8.0,28,7,,,0,0,0.03571428571428571,1.0,28,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0.9047619047619048,26.0,28,7,,,0,0,1.0,16.0,16,5,1.0,20.0,20,5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,U,STRICT_BASE,320,False,micro,28,7,2,UNKNOWN,0.21428571428571427,6.0,28,7,,,0,0,0.21428571428571427,6.0,28,7,0.7857142857142857,22.0,28,7,0.7272727272727273,16.0,22,7,0.2727272727272727,6.0,22,7,0.0,0.0,6,6,0.6666666666666666,4.0,6,6,0.7142857142857143,20.0,28,7,0.0,0.0,28,7,0.7142857142857143,20.0,28,7,0.7272727272727273,16.0,22,7,0.2857142857142857,8.0,28,7,,,0,0,0.03571428571428571,1.0,28,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0.9285714285714286,26.0,28,7,,,0,0,1.0,16.0,16,5,1.0,20.0,20,5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,cross_family_confirmation,EDIT_TARGET,320,False,macro,14,7,7,UNKNOWN,0.8571428571428571,12.0,14,7,,,0,0,0.8571428571428571,12.0,14,7,0.42857142857142855,6.0,14,7,,,0,0,,,0,0,0.75,6.0,8,4,1.0,8.0,8,4,1.0,14.0,14,7,0.8571428571428571,12.0,14,7,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,0.8571428571428571,12.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,14.0,14,7,,,0,0,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,cross_family_confirmation,EDIT_TARGET,320,False,micro,14,7,7,UNKNOWN,0.8571428571428571,12.0,14,7,,,0,0,0.8571428571428571,12.0,14,7,0.42857142857142855,6.0,14,7,,,0,0,,,0,0,0.75,6.0,8,4,1.0,8.0,8,4,1.0,14.0,14,7,0.8571428571428571,12.0,14,7,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,0.8571428571428571,12.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,14.0,14,7,,,0,0,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,source_style_confirmation,EDIT_TARGET,320,False,macro,14,7,7,UNKNOWN,1.0,14.0,14,7,,,0,0,1.0,14.0,14,7,0.5714285714285714,8.0,14,7,,,0,0,,,0,0,1.0,6.0,6,3,1.0,6.0,6,3,1.0,14.0,14,7,1.0,14.0,14,7,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,1.0,14.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,14.0,14,7,,,0,0,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
STAGE13R_NEW_SOURCE,A,0,BE,BE_ROUTE_R0,evaluation,source_style_confirmation,EDIT_TARGET,320,False,micro,14,7,7,UNKNOWN,1.0,14.0,14,7,,,0,0,1.0,14.0,14,7,0.5714285714285714,8.0,14,7,,,0,0,,,0,0,1.0,6.0,6,3,1.0,6.0,6,3,1.0,14.0,14,7,1.0,14.0,14,7,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,1.0,14.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,14.0,14,7,,,0,0,,,0,0,,,0,0,0.0,0.0,14,7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
