edit,method,mode,role,pairs,pair_correct,both_correct,native_only,H_only,both_wrong
1,C_FACT,FORCED_ON,fit,1,1.0,1,0,0,0
1,C_FACT,FORCED_ON,evaluation,1,1.0,1,0,0,0
1,C_FACT,BE_ROUTE_R0,fit,1,1.0,1,0,0,0
1,C_FACT,BE_ROUTE_R0,evaluation,1,1.0,1,0,0,0
1,C_FACT,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
1,C_FACT,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
1,C_NO_H,FORCED_ON,fit,1,0.0,0,1,0,0
1,C_NO_H,FORCED_ON,evaluation,1,0.0,0,1,0,0
1,C_NO_H,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
1,C_NO_H,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
1,C_NO_H,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
1,C_NO_H,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
1,BE,FORCED_ON,fit,1,0.0,0,1,0,0
1,BE,FORCED_ON,evaluation,1,0.0,0,1,0,0
1,BE,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
1,BE,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
1,BE,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
1,BE,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
2,C_FACT,FORCED_ON,fit,1,1.0,1,0,0,0
2,C_FACT,FORCED_ON,evaluation,1,1.0,1,0,0,0
2,C_FACT,BE_ROUTE_R0,fit,1,1.0,1,0,0,0
2,C_FACT,BE_ROUTE_R0,evaluation,1,1.0,1,0,0,0
2,C_FACT,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
2,C_FACT,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
2,C_NO_H,FORCED_ON,fit,1,0.0,0,1,0,0
2,C_NO_H,FORCED_ON,evaluation,1,0.0,0,1,0,0
2,C_NO_H,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
2,C_NO_H,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
2,C_NO_H,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
2,C_NO_H,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
2,BE,FORCED_ON,fit,1,0.0,0,1,0,0
2,BE,FORCED_ON,evaluation,1,0.0,0,1,0,0
2,BE,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
2,BE,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
2,BE,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
2,BE,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
3,C_FACT,FORCED_ON,fit,1,1.0,1,0,0,0
3,C_FACT,FORCED_ON,evaluation,1,1.0,1,0,0,0
3,C_FACT,BE_ROUTE_R0,fit,1,1.0,1,0,0,0
3,C_FACT,BE_ROUTE_R0,evaluation,1,1.0,1,0,0,0
3,C_FACT,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
3,C_FACT,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
3,C_NO_H,FORCED_ON,fit,1,0.0,0,1,0,0
3,C_NO_H,FORCED_ON,evaluation,1,0.0,0,1,0,0
3,C_NO_H,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
3,C_NO_H,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
3,C_NO_H,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
3,C_NO_H,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
3,BE,FORCED_ON,fit,1,0.0,0,1,0,0
3,BE,FORCED_ON,evaluation,1,0.0,0,1,0,0
3,BE,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
3,BE,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
3,BE,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
3,BE,RC_FIXED_OLD16,evaluation,1,1.0,1,0,0,0
4,C_FACT,FORCED_ON,fit,1,0.0,0,0,1,0
4,C_FACT,FORCED_ON,evaluation,2,0.0,0,0,0,2
4,C_FACT,BE_ROUTE_R0,fit,1,0.0,0,0,1,0
4,C_FACT,BE_ROUTE_R0,evaluation,2,0.0,0,0,0,2
4,C_FACT,RC_FIXED_OLD16,fit,1,0.0,0,0,1,0
4,C_FACT,RC_FIXED_OLD16,evaluation,2,0.0,0,0,0,2
4,C_NO_H,FORCED_ON,fit,1,0.0,0,0,0,1
4,C_NO_H,FORCED_ON,evaluation,2,0.0,0,0,0,2
4,C_NO_H,BE_ROUTE_R0,fit,1,0.0,0,0,0,1
4,C_NO_H,BE_ROUTE_R0,evaluation,2,0.0,0,0,0,2
4,C_NO_H,RC_FIXED_OLD16,fit,1,0.0,0,0,1,0
4,C_NO_H,RC_FIXED_OLD16,evaluation,2,0.0,0,0,0,2
4,BE,FORCED_ON,fit,1,0.0,0,0,0,1
4,BE,FORCED_ON,evaluation,2,0.0,0,0,0,2
4,BE,BE_ROUTE_R0,fit,1,0.0,0,0,0,1
4,BE,BE_ROUTE_R0,evaluation,2,0.0,0,0,0,2
4,BE,RC_FIXED_OLD16,fit,1,0.0,0,0,1,0
4,BE,RC_FIXED_OLD16,evaluation,2,0.0,0,0,0,2
5,C_FACT,FORCED_ON,fit,1,1.0,1,0,0,0
5,C_FACT,FORCED_ON,evaluation,1,1.0,1,0,0,0
5,C_FACT,BE_ROUTE_R0,fit,1,1.0,1,0,0,0
5,C_FACT,BE_ROUTE_R0,evaluation,1,1.0,1,0,0,0
5,C_FACT,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
5,C_FACT,RC_FIXED_OLD16,evaluation,1,0.0,0,1,0,0
5,C_NO_H,FORCED_ON,fit,1,0.0,0,1,0,0
5,C_NO_H,FORCED_ON,evaluation,1,0.0,0,1,0,0
5,C_NO_H,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
5,C_NO_H,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
5,C_NO_H,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
5,C_NO_H,RC_FIXED_OLD16,evaluation,1,0.0,0,1,0,0
5,BE,FORCED_ON,fit,1,0.0,0,1,0,0
5,BE,FORCED_ON,evaluation,1,0.0,0,1,0,0
5,BE,BE_ROUTE_R0,fit,1,0.0,0,1,0,0
5,BE,BE_ROUTE_R0,evaluation,1,0.0,0,1,0,0
5,BE,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
5,BE,RC_FIXED_OLD16,evaluation,1,0.0,0,1,0,0
6,C_FACT,FORCED_ON,fit,1,1.0,1,0,0,0
6,C_FACT,FORCED_ON,evaluation,2,1.0,2,0,0,0
6,C_FACT,BE_ROUTE_R0,fit,1,1.0,1,0,0,0
6,C_FACT,BE_ROUTE_R0,evaluation,2,0.5,1,1,0,0
6,C_FACT,RC_FIXED_OLD16,fit,1,1.0,1,0,0,0
6,C_FACT,RC_FIXED_OLD16,evaluation,2,0.5,1,1,0,0
